Country	Code_WMO,,Long,Lat,Altitude,years,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
211,36870,76.93,43.23,847,1970,-6.3,-1.9,0.6,11.1,16.1,20.4,22.5,22,16.7,9.6,0.3,-4.6
211,36870,76.93,43.23,847,1971,-7.7,-5.1,1.3,10.1,15.4,22.2,22.3,22.3,16.7,11.6,5.2,2.3
211,36870,76.93,43.23,847,1972,-8.4,-10.6,0,10.8,16.3,20.2,20.6,20.4,16,9.2,3.2,-5.5
211,36870,76.93,43.23,847,1973,-6.5,-4,1.1,11.7,14.8,21.1,24.9,22.1,15.6,9.4,4.7,-1.9
211,36870,76.93,43.23,847,1974,-8.5,-10,2.2,11.5,17.4,21.6,25.3,20.9,16.3,8.9,3.1,-11.3
211,36870,76.93,43.23,847,1975,-4.2,-4.2,4.4,11.8,15.5,21.2,25.1,23.5,17.8,9.2,-1.8,-4.2
211,36870,76.93,43.23,847,1976,-1.6,-4.5,-0.7,10.6,17.3,20.8,24.9,23.2,16.7,7.7,-2.2,-7.4
211,36870,76.93,43.23,847,1977,-10.5,-4.8,3.3,12.1,17.6,24,23.3,22.4,18.2,8.7,4,-3.2
211,36870,76.93,43.23,847,1978,-7.2,-6.1,2.1,13.3,16.8,20.9,24.1,21.1,18.8,9.5,0.7,0.6
211,36870,76.93,43.23,847,1979,-7.3,-0.3,0.9,9.7,13.5,19.6,23.2,21.9,15.8,11.6,0.1,0.6
211,36870,76.93,43.23,847,1980,-6.6,-6.2,0,11.9,17,20.4,24.1,22.4,17,10.8,6.8,0.1
211,36870,76.93,43.23,847,1981,-4.6,-4.6,6.1,11.7,16.6,20.6,23.1,21.3,16.9,7.5,-0.3,-4.5
211,36870,76.93,43.23,847,1982,-3.5,-3,-2.5,13.2,18.9,21.4,22.9,22.3,16.2,9.6,-0.3,-4.7
211,36870,76.93,43.23,847,1983,-2.8,0.8,3.8,12.3,15.4,20.8,24.5,24.6,17.4,9.2,3.9,-2.7
211,36870,76.93,43.23,847,1984,-8.8,-10.7,3.1,9.3,16.4,22.5,24.2,25.1,16.6,9.3,2.3,-14.7
211,36870,76.93,43.23,847,1985,-7.2,-2,-1.9,12.3,15.5,21,24.8,21.5,16.7,8.4,-0.8,-2.4
211,36870,76.93,43.23,847,1986,-3.1,-3.6,0.1,10.6,16.4,20.1,23.7,22.1,18.5,8.3,0.6,-2.4
211,36870,76.93,43.23,847,1987,-1.9,-0.1,3.4,9.7,16.3,18.1,23.3,24.1,17.1,4.4,1.1,0.7
211,36870,76.93,43.23,847,1988,-4.1,-8.7,0.1,12.6,14,21.9,23.6,20.6,17.7,8.8,5.7,0.3
211,36870,76.93,43.23,847,1989,-5.3,-6.2,2.2,8.1,15,19.5,23.2,22.6,16.8,8.6,0.7,1.6
211,36870,76.93,43.23,847,1990,-5.4,-3.3,3.6,10.9,17.3,23.5,23.1,22.6,19,10.2,3,-0.5
211,36870,76.93,43.23,847,1991,-5.2,-4.5,1.1,11.9,-999,21.9,25,22.5,18.4,11.2,3.1,-1.6
211,36870,76.93,43.23,847,1992,-2.3,-0.6,-999,12.9,14,19.9,23.4,20.4,-999,9.3,-999,-1.8
211,36870,76.93,43.23,847,1993,-4.7,-2.6,3.1,10.6,13.5,21.1,23.1,20.6,16.6,8.9,-1.2,-3.9
211,36870,76.93,43.23,847,1994,-6.2,-8,1.6,8.6,16.8,22.1,24.1,23.5,15,9.6,6.4,-2.3
211,36870,76.93,43.23,847,1995,-7.4,-1.9,2.6,11.9,16.5,22.4,24,23.1,18,5.9,4.5,-3.6
211,36870,76.93,43.23,847,1996,-7.7,-4.4,-0.8,8.3,15.6,21,23.5,23.1,18,9.8,0,0.5
211,36870,76.93,43.23,847,1997,-2,-3.6,4.7,15.1,16.5,21.8,25.5,23,19.3,15,-1.4,-4.2
211,36870,76.93,43.23,847,1998,-5.8,-2.2,-999,11.1,14.8,21,24.2,24.3,18.5,10.6,4.5,-1.3
211,36870,76.93,43.23,847,1999,-4.3,1.7,0.4,10.8,16.9,20.3,22.4,24.1,18.2,12.1,2.1,-0.3
211,36870,76.93,43.23,847,2000,-3.4,-3,3.9,14.5,18.8,22,25,24.4,18.6,6.2,0.5,-0.4
211,36870,76.93,43.23,847,2001,-5.2,-1.6,6.7,10.8,20.2,24,23.5,22.9,16.6,8.5,5,-6.1
211,36870,76.93,43.23,847,2002,-2,-0.4,7.3,9.7,15.7,21.1,22.8,24.2,18.3,11.6,5.3,-5.4
211,36870,76.93,43.23,847,2003,-3.67,-3.29,3.19,7.47,15.74,20.3,21.11,21.71,17.15,10.41,0.31,-4.2
